min_angle,max_angle,radiation,view,img
35,71,126.09,-49.27,https://code4architecture.github.io/DesignExplorer---Data/img_201.png
20,74,105.16,-41.4,https://code4architecture.github.io/DesignExplorer---Data/img_202.png
39,85,145.74,-57.23,https://code4architecture.github.io/DesignExplorer---Data/img_203.png
40,60,123.7,-47.93,https://code4architecture.github.io/DesignExplorer---Data/img_204.png
11,74,93.78,-35.96,https://code4architecture.github.io/DesignExplorer---Data/img_205.png
12,86,105.03,-41.32,https://code4architecture.github.io/DesignExplorer---Data/img_206.png
11,71,91.57,-34.78,https://code4architecture.github.io/DesignExplorer---Data/img_207.png
37,70,128.54,-50.08,https://code4architecture.github.io/DesignExplorer---Data/img_208.png
19,86,114.93,-45.55,https://code4architecture.github.io/DesignExplorer---Data/img_209.png
10,71,90.38,-34.17,https://code4architecture.github.io/DesignExplorer---Data/img_210.png
40,73,136.67,-53.08,https://code4architecture.github.io/DesignExplorer---Data/img_211.png
39,84,144.83,-56.83,https://code4architecture.github.io/DesignExplorer---Data/img_212.png
38,64,124.44,-48.3,https://code4architecture.github.io/DesignExplorer---Data/img_213.png
16,74,100,-38.98,https://code4architecture.github.io/DesignExplorer---Data/img_214.png
16,65,92.77,-35.42,https://code4architecture.github.io/DesignExplorer---Data/img_215.png
38,65,125.33,-48.7,https://code4architecture.github.io/DesignExplorer---Data/img_216.png
11,70,90.7,-34.38,https://code4architecture.github.io/DesignExplorer---Data/img_217.png
11,73,93.01,-35.57,https://code4architecture.github.io/DesignExplorer---Data/img_218.png
11,88,105.55,-41.51,https://code4architecture.github.io/DesignExplorer---Data/img_219.png
19,84,113.03,-44.76,https://code4architecture.github.io/DesignExplorer---Data/img_220.png
38,66,126.27,-49.1,https://code4architecture.github.io/DesignExplorer---Data/img_221.png
10,70,89.6,-33.78,https://code4architecture.github.io/DesignExplorer---Data/img_222.png
15,77,101.3,-39.57,https://code4architecture.github.io/DesignExplorer---Data/img_223.png
38,86,145.26,-57.02,https://code4architecture.github.io/DesignExplorer---Data/img_224.png
14,77,99.9,-38.96,https://code4architecture.github.io/DesignExplorer---Data/img_225.png
15,61,87.99,-33.23,https://code4architecture.github.io/DesignExplorer---Data/img_226.png
19,85,113.9,-45.15,https://code4architecture.github.io/DesignExplorer---Data/img_227.png
11,77,96.32,-37.15,https://code4architecture.github.io/DesignExplorer---Data/img_228.png
13,90,109.76,-43.51,https://code4architecture.github.io/DesignExplorer---Data/img_229.png
38,72,132.3,-51.47,https://code4architecture.github.io/DesignExplorer---Data/img_230.png
10,86,102.48,-40.12,https://code4architecture.github.io/DesignExplorer---Data/img_231.png
